Problem,Problem Description,Problem Type,Data Structure Recommendation,Algorithm Recommendation
"Chessboard Game, Again!",Determine the winner in a game played on a chessboard with specific moves.,Game Theory,2D Array,No specific algorithm
Play on benders,Determine if the first player can win given a series of moves that modify the state of a matrix.,"Game Theory, Matrix",2D Array,"Minimax, DFS"
Vertical Rooks,Determine if a player can win in a chess-like game involving rooks placed vertically on a chessboard.,"Game Theory, Graph",2D Array,"Game Theory, BFS, DFS"
Minimum Operations,Determine the minimum number of operations required to transform one string into another.,"Dynamic Programming,String",2D Array,Dynamic Programming
The Longest Common Subsequence,Find the longest subsequence common to two or more sequences.,Dynamic Programming,2D Array,LCS
Coin on the Table,"Minimize the number of moves to move a coin to a target position on a grid within a given number of moves, considering obstacles and costs.",Dynamic Programming,2D Array,"BFS, Dynamic Programming"
The Indian Job,"Determine if it's possible to complete a heist with given time constraints on each item, maximizing the number of items collected.","Knapsack, Dynamic Programming",2D Array,0/1 Knapsack Dynamic Programming
3D Surface Area,Calculate the surface area of a 3D structure formed by stacks of unit cubes.,Geometry,3D Array,No specific algorithm
Counting Special Sub-Cubes,Count the number of sub-cubes within a 3D matrix that satisfy certain properties.,Matrix,3D Array,Dynamic Programming
Simple Array Sum,Find the sum of all elements in a given array of integers.,Arithmetic,Array,No specific algorithm
Compare the Triplets,"Compare elements of two triplets and count how many times each element of the first is greater, less, or equal to the corresponding element in the second",Comparison,Array,No specific algorithm
Mini-Max Sum,Find the minimum and maximum sums of 4 out of 5 integers.,Arithmetic,Array,Heap Sort
Birthday Cake Candles,Find how many candles are the tallest on a birthday cake.,Comparison,Array,No specific algorithm
Grading Students,Round grades according to specific rules.,Logical,Array,No specific algorithm
Apple and Orange,Count the number of apples and oranges that fall on a house's roof based on their positions and distances.,Counting,Array,No specific algorithm
Between Two Sets,Find the number of integers that are factors of all elements in one array and divisors of all elements in another array.,Arithmetic,Array,"GCD, LCM"
Breaking the Records,Count how many times a player breaks their season records for most and least points scored.,Counting,Array,No specific algorithm
Subarray Division,Count the number of ways to divide a chocolate bar into segments with a specified sum.,Prefix Sum,Array,Sliding Window
Divisible Sum Pairs,Count the number of pairs whose sums are divisible by a given integer.,Counting,Array,No specific algorithm
Migratory Birds,Find the most frequently spotted bird in a list.,Frequency Analysis,Array,HashMap
Bill Division,"Determine if a friend overpaid or underpaid their share for a meal, based on the total and items skipped.",Arithmetic,Array,No specific algorithm
Sales by Match,Count the number of matching pairs of socks from a list.,Frequency Analysis,Array,HashMap
Climbing the Leaderboard,"Calculate the player's rank after each new score, given a leaderboard with scores in decreasing order.",Sorting,Array,Binary Search
Non-Divisible Subset,Find the largest subset of numbers from an array such that no two numbers in the subset are divisible by a given integer k.,Subset,Array,"Modulo Arithmetic, Greedy"
Bigger is Greater,Find the next lexicographically greater permutation of a given string.,String Manipulation,Array,Next Permutation
Encryption,Encrypt the given string by arranging characters in a grid pattern and reading column-wise.,String Manipulation,Array,Grid Manipulation
Larry's Array,Determine if a given array can be sorted using a series of 3-element rotations.,Sorting,Array,No specific algorithm
Almost Sorted,Identify if the given array can be sorted by either reversing or swapping a subsegment.,Sorting,Array,No specific algorithm
The Full Counting Sort,Implement a stable counting sort algorithm that maintains relative order of equal elements.,Sorting,Array,Counting Sort
Fraudulent Activity Notifications,Calculate the number of fraudulent notifications based on the median of expenditures for the trailing d days.,Sliding Window,Array,Sliding Window
Lily's Homework,Determine the minimum number of swaps needed to sort an array.,Sorting,Array,Greedy
Highest Value Palindrome,Find the lexicographically highest palindrome that can be formed by changing no more than k characters of a given string.,String Manipulation,Array,Greedy
Maximum Palindromes,"Answer multiple queries on substrings, checking if they can form a palindrome.",String Analysis,Array,"Prefix, Suffix"
Bear and Steady Gene,Replace the minimum number of characters to make a gene sequence steady (having equal frequency of four letters).,Sliding Window,Array,"Sliding Window, Frequency Count"
Minimum Loss,"Find the minimum difference between prices, considering that the first price must be greater than the second.",Sorting Searching,Array,Binary Search
Hackerland Radio Transmitters,"Find the minimum number of transmitters needed to cover all houses, where each transmitter covers a specified range.",Greedy,Array,Greedy
Pairs,Find the number of pairs in an array that have a given difference k.,Searching,Array,HashSet
Beautiful Quadruples,"Count the number of quadruples (a, b, c, d) such that a⊕b⊕c⊕d=0.",Bitwise Operation,Array,No specific algorithm
Equal,Minimize the number of operations to equalize an array by reducing elements.,"Greedy,Dynamic Programming",Array,"Greedy, Dynamic Programming"
Lena Sort,Count the number of comparisons needed to sort an array using an unstable sorting algorithm.,"Sorting, Counting",Array,Counting Sort
Goodland Electricity,Minimize the number of power plants required to cover all cities.,Greedy,Array,Greedy
Max Min,Minimize the maximum difference between elements in a subarray of a given size.,"Greedy, Sliding Window",Array,"Sorting, Sliding Window"
Greedy Florist,Determine the minimum cost to buy all flowers given increasing cost rules.,Greedy,Array,"Greedy, Sorting"
Gaming Array,Determine the winner of a game where each player removes the maximum element from an array.,"Game, Greedy",Array,Greedy
Bonetrousle,"Find k unique positive integers that sum up to n, given the constraints on k and the upper limit on integers.",Logical,Array,No specific algorithm
New Year Chaos,Determine the minimum number of swaps required to sort a queue given constraints on maximum bribes.,"Sorting, Counting",Array,Bubble Sort
Prime XOR,Find the number of ways to pick non-empty subsets of an array such that their XOR value is prime.,"Dynamic Programming, Bitmask",Array,"Bitmasking, Dynamic Programming"
Fibonacci Modified,Compute the nth term in a modified Fibonacci sequence given initial values and recurrence relation.,"Dynamic Programming, Recursion",Array,Bottom-Up Dynamic Programming
The Maximum Subarray,Find the maximum sum of a contiguous subarray and the maximum sum of any subsequence.,Dynamic Programming,Array,Kadane's Algorithm
Fair Cut,Minimize unfairness by splitting an array into two parts based on given constraints.,"Greedy, Dynamic Programming",Array,Greedy and Dynamic Programming
Summing Pieces,"Calculate the sum of all pieces of a given array, where each piece is multiplied by the number of elements that follow it.",Dynamic Programming,Array,Dynamic Programming
HackerRank City,Find the minimum time to connect all the buildings of a city using roads with specific constraints.,Dynamic Programming,Array,Dynamic Programming
Prime Digit Sums,Calculate the number of integers whose digit sum is a prime number.,Dynamic Programming,Array,Dynamic Programming
Two Robots,Find the minimum distance for two robots to pick items from different positions on a line.,"Dynamic Programming, Greedy",Array,Dynamic Programming
Stock Maximize,Maximize the profit by buying and selling stocks given future prices.,Greedy,Array,Greedy
Lego Blocks,Count the number of ways to build a wall of given dimensions using lego blocks of varying sizes.,Dynamic Programming,Array,Dynamic Programming
Xor and Sum,Calculate the sum of the XOR of all possible pairs of the given numbers and binary representations.,Bit Manipulation,Array,Bit Manipulation
Red John is Back,Calculate the number of ways to build a wall using 1x4 or 4x1 bricks and then count prime numbers up to that number.,Dynamic Programming,Array,Dynamic Programming
Mandragora Forest,Optimize the value gained from battling or consuming mandragoras using a strategy.,"Greedy, Dynamic Programming",Array,"Greedy, Dynamic Programming"
Nikita and the Game,"Split the array into two equal halves recursively, maximizing the number of splits.",Divide and Conquer,Array,Binary Search
Wet Shark and Two Subsequences,Find the maximum value of two non-overlapping subsequences of a given array.,"Greedy, Dynamic Programming",Array,"Greedy, Dynamic Programming"
Bricks Game,"Choose the maximum score by selecting bricks from either end of a row, optimizing choices based on the sum of remaining bricks.",Dynamic Programming,Array,Dynamic Programming
Interval Selection,"Given intervals, select a maximum number of non-overlapping intervals to satisfy the constraints.",Greedy,Array,Greedy Algorithm
Extremum Permutations,Find a permutation of an array that maximizes or minimizes a given property.,Greedy,Array,Greedy
Swap Permutation,Determine the minimum number of adjacent swaps required to transform one permutation into another.,"Sorting, Graph",Array,"Greedy, Bubble Sort"
Travel around the World,Check if it's possible to travel around a circular route with given fuel constraints.,Greedy,Array,Greedy
Yet Another Minimax Problem,Find the minimum possible value of the maximum XOR between any two distinct elements in an array.,Bit Manipulation,Array,Bit Manipulation
The Great XOR,Count the numbers less than a given number that have the same number of set bits in their binary representation as a given number.,Bit Manipulation,Array,Bit Manipulation
Sansa and XOR,Determine the XOR of all elements in specific subarrays of an array.,Bit Manipulation/Array,Array,No specific algorithm
The Power Sum,Find the number of ways to express a number as the sum of unique integer powers.,Math/Recursion,Array,No specific algorithm
A or B,Modify two numbers so that their bitwise OR equals a given number with minimum changes.,Bit Manipulation/Greedy,Array,"Bit Manipulation, Greedy"
Maximum Palindromes,Determine the number of palindromic subsequences of a given length that can be formed.,"String, Counting",Array,Dynamic Programming
Highest Value Palindrome,Convert a given string into the highest value palindrome possible within a limited number of changes.,"String, Greedy",Array,Greedy
Alice and Bob's Silly Game,Determine if Alice or Bob wins in a game where they take turns choosing prime numbers.,"Game Theory, Math",Array,No specific algorithm
Chocolate in Box,Determine the number of moves a player can make in a chocolate game with piles of chocolates.,Game Theory,Array,Bit Manipulation
Fun Game,Determine the winner in a game involving two players taking turns picking numbers from an array.,"Game Theory, Greedy",Array,Greedy
Tower Breakers - The Final Battle,Determine the winner in the final battle of Tower Breakers with additional constraints on tower sizes.,Game Theory,Array,Nim Sum
Bob and Ben,Bob and Ben take turns choosing piles of stones. Determine the winner based on the number of stones left.,Game Theory,Array,Grundy Numbers
Deforestation,Find the optimal way to cut down trees to minimize the penalty while ensuring no adjacent trees are cut.,Dynamic Programming,Array,Dynamic Programming
Powers Game,Determine the winner in a game where players subtract powers of two from a given number.,Game Theory,Array,"Bit Manipulation, Nim Sum"
New Year Game,"A game played with an array of numbers, where each move changes the parity of numbers. Determine winner.",Game Theory,Array,Game Theory
Permutation game,Determine if a player wins given permutations of numbers and specific rules.,"Game Theory, Arithmetic",Array,"Permutations, Backtracking"
A Stones Game,"A variation of Nim, where stones can be removed from piles based on specific rules.",Game Theory,Array,"Nim Sum, Grundy Numbers"
Zig Zag Sequence,"Rearrange an array to create a ""zig-zag"" pattern, where the middle element is the maximum and others form a sequence around it.",Array Manipulation,Array,No specific algorithm
Gridland Metro,"Calculate the total number of cells not occupied by tracks on a grid, given track locations.",Grid Analysis,"Array, HashMap",Greedy
Short Palindrome,Count the number of 4-length palindromes that can be formed from a given string.,String Analysis,"Array, HashMap",Frequency Analysis
Cloudy Day,Maximize the number of cities that receive sunlight coverage given cloud cover and shelter placement.,Greedy,"Array, Prefix Sum",Greedy
Candles Counting,Find the number of ways to light up all candles by performing a given set of operations on the candles' positions.,"Dynamic Programming, Bitmask",Bitmask,Bitmask Dynamic Programming
Roads and Libraries,Minimize the cost of building libraries or repairing roads to connect cities in a country.,Graph,Graph,"BFS, DFS"
Kruskal (MST): Really Special Subtree,Find the minimum spanning tree of a graph using Kruskal's algorithm.,Graph,Graph,Kruskal's MST
Breadth First Search: Shortest Reach,Find the shortest path from a given node to all other nodes in an unweighted graph.,Graph Traversal,Graph,BFS
Synchronous Shopping,"Determine the minimum time required to visit multiple stores, starting from a source, considering both roads and product availability.",Graph Traversal,Graph,"BFS, Bitmask Dynamic Programming"
Journey to the Moon,"Determine the number of valid astronaut pairs that can be chosen, given that astronauts from the same country cannot form a pair.",Graph,Graph,"BFS, DFS"
Minimum Penalty Path,"Find the path with the minimum penalty in a weighted graph, where the penalty is determined by a bitwise OR of the weights of the edges in the path.",Graph,Graph,"BFS, DFS"
Clique,Determine the maximum clique size in a given graph or find a subgraph that forms a clique.,Graph,Graph,"Backtracking, Greedy"
Rust & Murderer,"Find the shortest distance from a starting point to all other nodes, excluding certain edges that have “rusted.”",Graph,Graph,BFS
Roads in HackerLand,"Determine the total weight of the minimum spanning tree for a graph, considering the weight of roads based on powers of 2.",Graph,Graph,Kruskal’s MST
Jeanie's Route,"Given multiple starting nodes, find the shortest path that visits all nodes (similar to a variation of the Traveling Salesman Problem).",Graph,Graph,Bitmask Dynamic Programming
Crab Graphs,Determine the maximum number of nodes that can be occupied in a bipartite graph given constraints on the number of crab legs (connections) per node.,Graph,Graph,Maximum Bipartite
Jack goes to Rapture,"Find the minimum cost path in a graph where edge weights can change depending on the current path cost, making it difficult to use standard shortest path algorithms.",Graph,Graph,Dijkstra’s Algorithm
Prim's (MST): Special Subtree,Find the minimum spanning tree of a graph using Prim's algorithm.,Graph,"Graph, Priority Queue",Prim’s MST Algorithm
Kingdom Division,Calculate the number of ways to divide a kingdom into two parts such that each part is a valid subtree.,"Graph, Tree DP","Graph, Tree","Tree, DFS"
Sherlock and the Valid String,Determine if a string can be rearranged to make all characters appear the same number of times by removing at most one character.,Frequency Analysis,HashMap,No specific algorithm
Sherlock and Anagrams,Sherlock and Anagrams,Anagram,HashMap,Frequency Analysis
"Stone Division, Revisited",A player removes stones in multiples from a pile. Determine if the first player can win.,Game Theory,HashMap,Memoization
Sherlock and Anagrams,Count the number of unordered anagrammatic pairs of substrings in a string.,"String,Counting",HashMap,Hashing
Bear and Steady Gene,"Minimize the number of substitutions needed to make a gene sequence ""steady.""","Sliding Window, String",HashMap,Sliding Window
Queen's Attack II,Calculate how many squares a queen can attack on an n x n chessboard with obstacles present.,Grid Traversal,HashSet,BFS
Winning Lottery Ticket,"Determine the number of pairs of tickets that, when combined, contain all digits from 0 to 9.",String,HashSet,Bit Manipulation
Password Cracker,Determine if a password can be formed by concatenating words from a list.,"String, Backtracking",HashSet,"DFS, Backtracking"
Staircase,Print a right-aligned staircase of a given size n using # symbols.,Pattern,No specific data structure,No specific algorithm
Number Line Jumps,Determine if two kangaroos starting at different positions with different speeds will land on the same location after the same number of jumps.,Arithmetic,No specific data structure,No specific algorithm
Drawing Book,Determine the minimum number of pages a user must turn to reach a given page in a book.,Arithmetic,No specific data structure,No specific algorithm
Day of the Programmer,"Determine the 256th day of a given year in the Russian calendar system, considering both Julian and Gregorian calendars.",Arithmetic,No specific data structure,No specific algorithm
Extra Long Factorials,"Compute the factorial of a very large number (e.g., 100!) without overflow.",Arithmetic,No specific data structure,No specific algorithm
Absolute Permutation,Find a permutation of numbers from 1 to n such that the absolute difference between each element and its index is k.,Arithmetic,No specific data structure,No specific algorithm
Gena Playing Hanoi,Calculate the minimum number of moves needed to rearrange disks from a given configuration to a goal configuration in the Hanoi puzzle.,Logical,No specific data structure,BFS
Xor-sequence,Calculate the XOR of a sequence of numbers using properties of XOR.,Bit Manipulation,No specific data structure,No specific algorithm
Counter game,Simulate a game where players reduce a number using power-of-2 reductions. Determine the winner.,Bit Manipulation,No specific data structure,Bit Manipulation
What's Next?,Find the next number greater than a given number that has the same number of set bits in its binary form.,Bit Manipulation/Math,No specific data structure,Bit Manipulation
AND Product,Calculate the bitwise AND of all integers between two given numbers (inclusive).,Bit Manipulation,No specific data structure,Bit Manipulation
Recursive Digit Sum,Find the recursive sum of digits of a number until it is a single digit.,"Recursion, Arithmitic",No specific data structure,No specific algorithm
Zero-Move Nim,Determine if the first player can win in a Nim game where removing zero stones is not allowed.,Game Theory,No specific data structure,"Nim Sum, Bit Manipulation"
"Tower Breakers, Revisited!",Determine if the first player can win in a modified version of Tower Breakers with prime factors.,Arithmetic,No specific data structure,No specific algorithm
"Tower Breakers, Again!",Determine the winner in a game where players remove stacks of towers with a special set of rules.,Game Theory,No specific data structure,No specific algorithm
Kitty and Katty,"Analyze which player wins a game with multiple piles of chocolates, where each move affects the piles.",Game Theory,No specific data structure,Grundy Numbers
Prime Dates,Determine the number of prime dates within a given range that satisfy specific properties.,Arithmetic,No specific data structure,Sieve of Eratosthenes
Time Conversion,Convert a 12-hour AM/PM time format to a 24-hour time format.,String Manipulation,String,No specific algorithm
Cut the Tree,Find the minimum difference between the sums of the weights of any two trees created by cutting an edge in a tree.,Tree,Tree,DFS
Even Tree,Determine how many edges need to be removed from a tree such that all remaining trees have an even number of nodes.,Tree,Tree,DFS
The Story of a Tree,"Determine the number of valid guesses for a specific edge being the root of a tree, given a set of guesses and a threshold value.",Tree,Tree,DFS
Cut Tree,Minimize the maximum subtree sum difference after cutting one edge from the tree.,Tree,Tree,DFS
Mary and flowers,"One day, Mary wanted to give a present to her friend. She decided on a beautiful bouquet of flowers and began collecting them. She needed precisely 2 types of flowers, and the total number of flowers required was 't'. To gather these, she started picking from her garden, which contained 'N' types of flowers. Each type was arranged in a queue in non-decreasing order, such as 1, 3, 6, 15, and so forth.",Sorting,Array,Binary search
Measurement of Array,"John was learning about arrays when his friend Ram arrived. Seeing John, Ram thought of a challenge for him. He challenged John to calculate the """"measurement"""" of an array a of size n. Given a 0-indexed array, Ram defined the measurement of the array as the sum of the """"sanities"""" of all the elements in the array. To calculate the sanity of each element in the array, the following operations need to be performed: Sort the given array. Calculate the sanity of an element in the array, which is defined as the sum of its original index (before sorting) and the index of its last occurrence in the new array (after sorting).Your task is to help John calculate the measurement of the array. Since the output may be too large, print it modulo 10^9+7. Note that duplicate elements may exist in the array.",Array,Array,Binary search
Shortest path,"Rahul has a unit test in school, but he woke up very late in the morning. He has to go to school as soon as possible. Rahul's house is situated at 0,0 index of integer matrix and his school is at n-1, m-1 index of the matrix. You have to help Rahul to find the shortest route.You are provided with a matrix, in which the ith, jth value represents distance.",Shortest path,Array,"Recursion, Dynamic programming"
Tom and jerry,Tom and Jerry are very naughty they always fight each other even for little things. This time they started fighting over a small cookie. The situation is such that there is a stream of numbers on a number line where there is a cookie present at the kth largest element in the array. Since Tom always gets the cookie from the master. Can you help jerry in getting the cookie as fast as possible? Note: The kth largest element should be considered with repetition.,Sorting,Heap(Priority queue),"Divide and conquer, Quickselect"
Too many books,"Luke has a bookshelf with n books, each with height aia_iai​. He recently bought a new shelf to keep some of his books since the first one was almost full. To add books to his new shelf: He walks from left to right, deciding for each book whether to leave it or place it on the new shelf. Books on the new shelf must be in strictly increasing order of height.Your task is to find the maximum number of books Luke can place on his new shelf in increasing order of height.",Longest increasing subsequence,Array,Dynamic programming
Tree bias,"Ram was learning the tree data structure when John saw him. Seeing Ram John challenged him to calculate the bias of the tree. The bias was defined as the sum of the depths of all tree nodes. Given a tree help, Ram in finding the bias of the tree. Consider node with value 1 as the root of the tree. Consider the depth of the root node as 0.","Tree traversal, Recursion",Tree,DFS
Archan loves median,Archan is a professor at the Academy Of Technology. One day he calls his student Niladri to play an interesting game. He asked Niladri to imagine an empty bucket. He then does k queries. In each query he asks Niladri to do either of the following operations: Add a number v to the bucket. Get the median of all numbers added to the bucket. Niladri needs to answer Archan only in the type 2 query. Can you help Niladri to do so?,Sorting,Heap,Priority queue
Backspace string compare,Alice challenged Bob to write the same word as his on a typewriter. Both are kids and are making some mistakes in typing and are making use of the ‘#’ key on a typewriter to delete the last character printed on it. An empty text remains empty even after backspaces.,"String, simulation",Stack,No specific algorithm
choose your syllabus,"In a classroom debate between two syllabuses, Syllabus 1 and Syllabus 2, both containing an equal number of chapters, the decision was to choose the one with higher interest value for teaching.The interest value of a syllabus is the total sum of intent values of its chapters. The intent value of a chapter is determined by the number of chapters in the other syllabus that have an intrinsic value equal to or lower than the current chapter in the chosen syllabus.This decision was reached after extensive discussion, aiming to select the syllabus that generates more interest among students.",Sorting,Array,Binary search
cricket match,"Team A has set a target of N-1 runs. Team B's goal is to score exactly N-1 runs to win. You are being given an array of length N, where each element represents the maximum number of runs Team B can score on that particular ball.Team B will play one ball at a time and can score anywhere between 0 and the value given in the array for that ball.The total number of balls Team B plays will equal the total number of runs they score.Starting from the first ball (index 0), your task is to determine if Team B can score exactly N-1 runs by selecting appropriate runs from each ball.You need to return true if Team B can score exactly N-1 runs, or false if it is not possible.",Recursion,Array,Dynamic programming
Design Hashmap,"Bob, in a fit of anger, vowed to avoid using built-in libraries after an argument with a programming language developer. He's attempting to create his own functions and data structures but got stuck while implementing a HashMap to map unique integer keys to integer values.He needs help to perform three basic operations:1. Insert: Add or update a (key, value) pair. 2. Get: Print the value for a given key, or -1 if the key doesn't exist. 3. Delete: Remove a key and its corresponding value if present. Let's assist Bob in building his own HashMap without relying on any pre-existing hash table libraries.",Hash table,"Array, linked list",Hashing
Find a way,"Robert wants to organize a marathon across your city.The city has landmarks numbered from to that can act as starting or finishing points. The landmarks are connected by roads. Each road has a length of n. The city map resembles a binary tree in which each landmark represents a vertex of the tree, and each road represents an edge. The tree is rooted at vertex 1. As the first step in planning, he wants to find the longest simple path between any two landmarks in the city. Help Robert to find the maximum length of the marathon he can organize.",Binary tree,"Graph, tree",DFS
Find middle earth,You are given two sorted arrays a1 and a2 of size m and n respectively. Now we combine the values of these two arrays to make a mega array. The resulting mega array is also sorted in nature.Your task is to find the median of this mega array.,Sorting,Array,"Binary search, Divide and conquer"
Filo numbers,"Ravi discovered a special type of number called Filo Numbers, which are any numbers that can be expressed as a sum of consecutive natural numbers.He found that every positive integer can be represented as a Filo Number. However, he realized that some integers can be expressed as a Filo Number in multiple ways. Now, he needs help calculating how many different ways a given positive integer N can be expressed as a Filo Number.",Mathematics,Array,No specific algorithm
Happy number,"Write an algorithm to determine if a number N is a ""good"" number. A ""good"" number is defined by the following process: Break the number into its digits. Square each digit and sum the squares.Replace the original number with this sum. Repeat steps 1-3 until the number becomes 1 or the process enters a cycle that does not include 1. If the process eventually reaches 1, the number is considered ""good"". If the process enters a cycle that does not include 1, the number is not ""good"".Here N is an integer.",Recursion,"Array, linked list, Hash map",No specific algorithm
Mocha's Alien Dictionary,"John and Mocha are two friends. Mocha made his dictionary of length n with strings k1, k2 .. kn and called it Alien dictionary. John tries to test Mocha's Alien dictionary by giving one string s to Mocha. Help Mocha check if John's string can be segmented into a sequence of one or more words from Mocha's Alien dictionary.",Recursion,Hashtable,"Dynamic programming, two pointers"
Kth character,"One day jack finds a string of characters. He is very keen to arrange the characters in reverse order, i.e., first characters become the last characters, second characters become the second-last characters, and so on.",Strings,Mathematics,No specific algorithm
Triangle game,You are given a triangle shape figure as shown in the figure. You have to decode the pattern in each row and find all the numbers in the nth row. (indexing starts from 0),Iterations,Mathematics,Patterns
Rahul and tree,"Rahul has an integer array called 'arr' of length N containing unique values. He wants to create a balanced tree where each parent node has smaller valued nodes on its left and larger valued nodes on its right. This balanced tree should ensure that the depth of the two subtrees for every node doesn't differ by more than one.Your task is to assist him in creating this type of tree.The output contains N lines denoting the pre-order traversal of nodes. If the left child of the node contains not null value then print the value else print a dot(.) , a similar process for the right child also. Each right child value is separated from the node by “->” sign and each left child by a left arrow sign","Recursion, sorting","Binary Search tree, array","Divide and conquer, Binary search"
Valentines day,"Rohit needs to pay a specific sum for a meal on Valentine's Day using coins of n different types, each with infinite supply. He wants to find the minimum number of coins required to make the exact sum. If he can't make the exact sum, he should return -1.",Recursion,Array,"Greedy, Dynamic programming"
Unique binary search trees,"Marco is fond of algorithms, especially of trees. One day he wonders that for a particular number of nodes, how many trees can be constructed such that they are unique in the structure and satisfy these conditions:Left child value of the root should be smaller than the root value. Right child value of the root should be larger than the root value.The nodes values are from [1,N] and the values should not be repeated more than once.",Iterations,Binary tree,Mathematics
"The sweeter, the better","A park in the city has N trees numbered from 1 to N connected by N-1 pavements. This structure resembles a binary tree rooted at tree '1' where trees represent the vertices and pavements represent its edges.Each tree has a fruit on it. Some of the fruits are sweet, while others are bitter. The ith tree (1 <= i <= N) has a fruit of sweetness ai. if the fruit is bitter, the value of ai will be negative.You went to the park to collect fruits. You cannot visit any tree more than once, and will have to collect the fruit from each tree you visit from the starting position of your choice. You can decide to return home with all the fruits you collected at any point. Find the maximum value of sweetness that you can collect.",Binary tree,Trees,DFS
Highest trees,"From your balcony, you can see N trees standing in a line numbered from 1 to N. The ith tree has height hi. Using your binoculars, you can only look at K trees at once in a single frame. A frame is defined by the index of the leftmost tree in it and contains exactly K trees. Starting from frame 1 (the leftmost frame), you move your binoculars towards the right until you reach frame N-K+1 (the rightmost possible frame). You want to find the height of the highest tree in each frame that is captured by your binoculars",Array,Arrays,Sliding windows
Clean the record,"The employees of a warehouse maintain a record of items that were brought in and taken out of it each day. The items taken out are represented as negative integers, and items brought in are represented as non-negative integers.The employees noticed that some of the entries in today’s record had been repeated by mistake.The record has been given as a sorted linked list, and the employees ask for your help to get a new sorted linked list containing only the unique entries in it.",Iterations,Linked list,No specific algorithm
Exchanging gifts,"The royal family exchanges gifts at Christmas, where the youngest member receives gifts from everyone but doesn't give any gifts. Given the data for all the exchanged gifts among the family members, you need to identify the youngest member, who is the one receiving gifts from everyone but not giving any.",Array,"Graph, hashtable",Hashing
Pairing shoes,"In a shoe factory, left and right shoes are produced separately, each with an integral ID according to its design and size. After manufacturing, the shoes are sent to Bob, who pairs left and right shoes with matching IDs. Each shoe can only be paired once, and the manager wants to know the IDs of all matching pairs in sorted order before final packaging.",Sorting,HashMaps,Hashing
Playing with tree,"In a computer class, students are represented as nodes in a binary search tree (BST) with each student having a unique roll number. Given two nodes xxx and yyy in this BST, the task is to find their Lowest Common Ancestor (LCA). The LCA is the lowest node in the tree that has both xxx and yyy as descendants",Recursion,Binary search tree,DFS
